audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
match,100051,Q1972074,AAS 063,Cuneiform Tablet AAS 063,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the louvre museum, paris, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100051
match,100114,Q1972187,AAS 130,Cuneiform Tablet AAS 130,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the louvre museum, paris, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100114
match,100138,Q2047320,AAS 158,Cuneiform Tablet AAS 158,"CDLI artifact: tablet; from Umma (mod. Tell Jokha); Ur III; held by Louvre Museum, Paris, France; CDLI P100138",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100138
match,100143,Q1972236,AAS 163,Cuneiform Tablet AAS 163,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc) and currently held in the louvre museum, paris, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100143
match,100180,Q1972299,AAS 200,Cuneiform Tablet AAS 200,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc).",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100180
match,100246,Q1981766,"Aegyptus 26, 164 13","Cuneiform Tablet Aegyptus 26, 164 13","Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the museo di antichità di torino, turin, italy.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100246
match,100303,Q2165655,"AfO 40-41, 61 8","Cuneiform Tablet AfO 40-41, 61 8","CDLI artifact: tablet; from uncertain (mod. uncertain); Ur III; held by Chiemgauer Münzfreunde, Chiemgau, Germany; CDLI P100303",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100303
match,100354,Q1983421,Aleppo 022,Cuneiform Tablet Aleppo 022,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100354
match,10036,Q2036401,"CT 50, 022","Cuneiform Tablet CT 50, 022","Sumerian administrative tablet from an unspecified location, dated to ed iiia (ca. 2600-2500 bc) and currently held in the british museum, london, uk.",Q512140,ED IIIa,P853,Q512140,Early Dynastic IIIa Period,P010036
match,100378,Q1983469,Aleppo 046,Cuneiform Tablet Aleppo 046,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100378
match,100397,Q1983513,Aleppo 065,Cuneiform Tablet Aleppo 065,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100397
match,100401,Q1983521,Aleppo 069,Cuneiform Tablet Aleppo 069,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100401
match,100495,Q1983709,Aleppo 163,Cuneiform Tablet Aleppo 163,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100495
match,100513,Q1983745,Aleppo 181,Cuneiform Tablet Aleppo 181,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100513
match,100544,Q1983798,Aleppo 212,Cuneiform Tablet Aleppo 212,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100544
match,100616,Q1983941,Aleppo 284,Cuneiform Tablet Aleppo 284,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100616
match,100641,Q1983993,Aleppo 309,Cuneiform Tablet Aleppo 309,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100641
match,100682,Q1984063,Aleppo 350,Cuneiform Tablet Aleppo 350,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100682
match,100704,Q1984109,Aleppo 372,Cuneiform Tablet Aleppo 372,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100704
match,100728,Q1984157,Aleppo 396,Cuneiform Tablet Aleppo 396,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100728
match,100753,Q1984208,Aleppo 421,Cuneiform Tablet Aleppo 421,"Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100753
match,100817,Q1984323,Aleppo 485,Cuneiform Tablet Aleppo 485,"Sumerian administrative tablet from an unspecified location, dated to ur iii (ca. 2100-2000 bc) and currently held in the national museum of syria, aleppo, syria.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100817
match,100840,Q1984383,Amherst 002,Cuneiform Tablet Amherst 002,"Sumerian administrative tablet found in the girsu provenience, dated to ed iiib (ca. 2500-2340 bc).",Q512142,ED IIIb,P853,Q512142,Early Dynastic IIIb Period,P100840
match,100883,Q1984445,Amherst 045,Cuneiform Tablet Amherst 045,"Sumerian administrative tablet found in the girsu provenience, dated to ur iii (ca. 2100-2000 bc).",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100883
match,100905,Q1984625,Amherst 067,Cuneiform Tablet Amherst 067,"Sumerian administrative tablet found in the girsu provenience, dated to ur iii (ca. 2100-2000 bc).",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100905
match,100929,Q1984677,Amherst 090,Cuneiform Tablet Amherst 090,"Sumerian administrative tablet found in the girsu provenience, dated to ur iii (ca. 2100-2000 bc).",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100929
match,100952,Q1984711,Amherst 113,Cuneiform Tablet Amherst 113,"Sumerian administrative tablet found in the girsu provenience, dated to ur iii (ca. 2100-2000 bc).",Q512148,Ur III Period,P853,Q512148,Ur III Period,P100952
match,101007,Q1985579,"AnOr 01, 016","Cuneiform Tablet AnOr 01, 016","Sumerian administrative tablet found in the puzrish-dagan provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the bibliothèque nationale et universitaire de strasbourg, strasbourg, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P101007
match,101050,Q1985663,"AnOr 01, 059","Cuneiform Tablet AnOr 01, 059","Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the bibliothèque nationale et universitaire de strasbourg, strasbourg, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P101050
match,101093,Q1985749,"AnOr 01, 102","Cuneiform Tablet AnOr 01, 102","Sumerian administrative tablet found in the tall jūka provenience, dated to ur iii (ca. 2100-2000 bc) and currently held in the bibliothèque nationale et universitaire de strasbourg, strasbourg, france.",Q512148,Ur III Period,P853,Q512148,Ur III Period,P101093
